name,url,category,description,hidden,slug,url_key
Fusebase,https://thefusebase.com,SaaS / Communication,Unified workspace integrating team communication and projects,False,fusebase,thefusebase.com
Félix Péault,https://flayks.com,Portfolio,"Félix Péault’s portfolio—concept-led digital design, motion, and experiments.",False,f-lix-p-ault,flayks.com
GENBRAND,https://genbrand.design,Agency / Studio,Brand and web studio crafting strategic identities and conversion-first sites.,False,genbrand,genbrand.design
GEP,https://www.gep.com,AI Tool,"AI-powered source-to-pay software, consulting, and managed services.",False,gep,gep.com
GPT Funnels,https://www.gptfunnels.ai,AI / Agents,AI-powered sales funnel creation and optimization platform,False,gpt-funnels,gptfunnels.ai
GT Pantheon,https://gt-pantheon.com,Design / Creative,"Elegant, size-specific serif family built for display, text, and micro typography.",False,gt-pantheon,gt-pantheon.com
Genbrand,https://genbrand.design,Agency / Studio,Brand and web studio crafting strategic identities and conversion-first sites.,False,genbrand,genbrand.design
Gev Design,https://www.gev.design,SaaS / Design,Fractional product design teams for fast-moving startups and platforms.,False,gev-design,gev.design
Gilion,https://www.gilion.com,Fintech,Founder-friendly growth financing with data-driven terms and flexible payback.,False,gilion,gilion.com
Ginkgo Bioworks,https://ginkgo.bio,Developer Tool,"Cell programming platform delivering R&D tools, data, and lab automation.",False,ginkgo-bioworks,ginkgo.bio
Givingli,https://givingli.com,Developer Tool,Digital cards and gifts with personalized messages for any occasion.,False,givingli,givingli.com
Glide,https://www.glideapps.com,SaaS / Marketing,Build mobile apps from spreadsheets and databases—no code required.,False,glide,glideapps.com
Glide,https://www.glideapps.com,SaaS / Marketing,Build mobile apps from spreadsheets and databases—no code required.,False,glide,glideapps.com
GoCardless,https://gocardless.com,Fintech / Banking,"Bank-to-bank payments for subscriptions, invoices, and global collections.",False,gocardless,gocardless.com
GoCardless,https://gocardless.com,Fintech / Banking,"Bank-to-bank payments for subscriptions, invoices, and global collections.",False,gocardless,gocardless.com
Gradient Labs,https://gradient-labs.ai,AI Tool,"Applied AI studio researching, prototyping, and shipping ML products.",False,gradient-labs,gradient-labs.ai
Gradient-Labs,https://gradient-labs.ai,AI Tool,"Applied AI studio researching, prototyping, and shipping ML products.",False,gradient-labs,gradient-labs.ai
Graza,https://www.graza.co,E-commerce,"Squeeze-bottle olive oil brand delivering fresh, single-origin EVOO.",False,graza,graza.co
GrowBro,https://www.growbro.ai,AI / Agents,AI-powered growth marketing and optimization platform,False,growbro,growbro.ai
Handshake,https://joinhandshake.com,SaaS / Marketing,Early-talent hiring network connecting students and grads with employers.,False,handshake,joinhandshake.com
Haptic,https://haptic.studio,Agency / Studio,"Brand and product studio crafting tactile, human-centered digital experiences.",False,haptic,haptic.studio
Hashnode,https://hashnode.com,SaaS / Developer Tool,"Developer blogging platform with custom domains, drafts, and community reach.",False,hashnode,hashnode.com
Hashnode,https://hashnode.com,SaaS / Developer Tool,"Developer blogging platform with custom domains, drafts, and community reach.",False,hashnode,hashnode.com
Height,https://height.app,SaaS / Productivity,Autonomous project management for product teams with agentic workflows.,False,height,height.app
HiKeys—1977,https://www.hikeys1977.com,Music  /  Creative,Retro-inspired music and design project with bold visuals and collectible vibes.,False,hikeys-1977,hikeys1977.com
HiPortfolio,https://hiportfolio.co,Developer Tool,"No-code portfolio builder with templates, case-study blocks, and simple CMS.",False,hiportfolio,hiportfolio.co
Holland Design,https://www.hollanddesign.ca,Agency / Studio,"Canada-based studio delivering branding, packaging, and digital design.",False,holland-design,hollanddesign.ca
Homestack,https://www.homestack.com,Saas  /  Real Estate,White-label real-estate apps and IDX search for brokerages and teams.,False,homestack,homestack.com
Homestack,https://www.homestack.com,Saas  /  Real Estate,White-label real-estate apps and IDX search for brokerages and teams.,False,homestack,homestack.com
Huly,https://huly.io,SaaS / Communication,"Open, all-in-one platform for issues, chat, docs, and team planning.",False,huly,huly.io
Huly,https://huly.io,SaaS / Communication,"Open, all-in-one platform for issues, chat, docs, and team planning.",False,huly,huly.io
Human Voice Over,https://www.humanvoiceover.com,E-commerce,Marketplace for premium human voiceovers with fast turnaround and revisions.,False,human-voice-over,humanvoiceover.com
Hurry Up & Have Fun,https://www.hurryupandhavefun.com,Agency / Studio,"Playful studio making bold brands, motion, and interactive web experiences.",False,hurry-up-have-fun,hurryupandhavefun.com
Hurry Up & Have Fun,https://www.hurryupandhavefun.com,Agency / Studio,"Playful studio making bold brands, motion, and interactive web experiences.",False,hurry-up-have-fun,hurryupandhavefun.com
Hurt Feelings,https://www.hurt-feelings.com,Agency / Studio,Independent studio making brave brand identities and expressive web work.,False,hurt-feelings,hurt-feelings.com
Hyperlink,https://www.hyperlinknyc.com,AI Tool,"Small NYC studio crafting intuitive, detail-obsessed brand and web work.",False,hyperlink,hyperlinknyc.com
Hypra,https://hypra.studio,Agency / Studio,"Brand, 3D, and web studio crafting immersive identities and interactive sites.",False,hypra,hypra.studio
I am Robin,https://www.iamrob.in,AI Tool,"Designer portfolio featuring crisp product UI, systems, and motion detail.",False,i-am-robin,iamrob.in
Igma,https://igma.im,Portfolio,"Design and development portfolio featuring playful UI, identities, and interactive work.",False,igma,igma.im
Illo,https://illo.tv,Agency / Studio,Illustration and motion studio creating playful brand worlds and videos.,False,illo,illo.tv
Illo,https://illo.tv,Agency / Studio,Illustration and motion studio creating playful brand worlds and videos.,False,illo,illo.tv
Impossible Foods,https://impossiblefoods.com,AI Tool,"Plant-based meat brand making sustainable, tasty alternatives for burgers and more.",False,impossible-foods,impossiblefoods.com
Instrument,https://instrument.com,Agency / Studio,"Strategy, brand, and product agency building experiences at global scale.",False,instrument,instrument.com
Intercom Design,https://intercom.design,Design Tool,"Intercom’s system: foundations, components, patterns, and accessibility guidance.",False,intercom-design,intercom.design
Intervo,https://intervo.ai,AI / Agents,AI-powered interview and recruitment automation platform,False,intervo,intervo.ai
Intraplex,https://intraplex.ai,AI / Agents,AI agent platform for enterprise workflow automation,False,intraplex,intraplex.ai
Invertase,https://invertase.io,Developer Tool,"Team behind Firebase/Flutter tools, SDKs, and DX consulting for developers.",False,invertase,invertase.io
ItsBot,https://itsbot.ai/chat-agent,AI / Chatbot,AI chatbot platform for customer service automation,False,itsbot,itsbot.ai/chat-agent
Jakub Zeg,https://www.zegzulka.com,SaaS / Design,"Designer portfolio delivering dynamic, interactive visuals across platforms.",False,jakub-zeg,zegzulka.com
Jasper,https://www.jasper.ai,AI / Writing,AI content platform for marketing copy and brand content.,False,jasper,jasper.ai
Jeeva,https://www.jeeva.ai,AI / Agents,AI-powered business process automation and intelligence,False,jeeva,jeeva.ai
Jeton,https://www.jeton.com,Fintech,"Multi-currency e-wallet to add, send, exchange, and pay across 25+ countries.",False,jeton,jeton.com
Jitter,https://jitter.video,SaaS / Design,"Browser-based motion design to animate UI, logos, and social posts in minutes.",False,jitter,jitter.video
Jitter,https://jitter.video,SaaS / Design,"Browser-based motion design to animate UI, logos, and social posts in minutes.",False,jitter,jitter.video
Jonas,https://jonas-template.framer.website,Template,Minimal Framer portfolio template with clean grid case studies and about page.,False,jonas,jonas-template.framer.website
Jonas Pelzer,https://jonaspelzer.com,Portfolio,"Designer–developer portfolio with refined type, motion, and crisp UI.",False,jonas-pelzer,jonaspelzer.com
Jordan Jenkins,https://www.jkane.co,Portfolio,"Creative director portfolio blending strategy, identity, and digital builds.",False,jordan-jenkins,jkane.co
Joyful Health,https://www.joyfulhealth.io,Health / Wellness,"Faith-based wellness app with coaching, community, and habit-building tools.",False,joyful-health,joyfulhealth.io
Jules Journey,https://jules-journey.framer.website,Template,Framer case-study template with long-form storytelling and smooth motion.,False,jules-journey,jules-journey.framer.website
Julius,https://outlinetype.com/julius,Design / Creative,High-contrast display typeface designed for striking editorial and identity use.,False,julius,outlinetype.com/julius
Juna,https://www.juna.ai,AI / Agents,AI agent platform for business intelligence and automation,False,juna,juna.ai
Junction,https://junction-studio.com,Agency / Studio,"Venture studio partnering with teams to validate, design, and ship new products.",False,junction,junction-studio.com
KallaBot,https://kallabot.com,AI / Chatbot,AI chatbot platform for customer service and engagement,False,kallabot,kallabot.com
Kastle,https://www.kastle.ai,AI Tool,"AI workspace that organizes info, answers questions, and speeds decisions.",False,kastle,kastle.ai
Kay,https://www.kay.ai,AI / Agents,AI research assistant for scientific literature analysis and insights,False,kay,kay.ai
Keel,https://keel.so,SaaS / Marketing,"Modern, programmable ERP to replace spreadsheet sprawl for ops teams.",False,keel,keel.so
Keto,https://ketosoftware.com,Portfolio,"Portfolio and OKR software for strategy, planning, and reporting at scale.",False,keto,ketosoftware.com
Keynote,https://apple.com/keynote,SaaS / Design,"Presentation tool for designing elegant slides, animations, and live demos.",False,keynote,apple.com/keynote
Kim,https://kim-template.framer.website,Template,"Framer agency template—hero, services, work grid, and polished case pages.",False,kim,kim-template.framer.website
Kinhive,https://kinhive.com,SaaS / Analytics,"SaaS for community-led growth with member tools, analytics, monetization, and payments.",False,kinhive,kinhive.com
Klavis,https://www.klavis.ai,AI / Agents,AI-powered business intelligence and workflow automation,False,klavis,klavis.ai
Knowly,https://goknowly.ai,AI / Agents,AI knowledge management and research assistant platform,False,knowly,goknowly.ai
Konolee,https://konolee.com,Agency / Studio,"Studio creating refined identities, packaging, and modern web experiences.",False,konolee,konolee.com
Korey,https://www.korey.ai,AI / Agents,AI-powered business intelligence and automation platform,False,korey,korey.ai
Kus,https://mikekus.com,Portfolio,"Mike Kus’s portfolio—bold web, brand, illustration, and photography projects.",False,kus,mikekus.com
L'Étude,https://letude.group,Agency / Studio,Paris-based studio shaping brand identities and digital experiences.,False,l-tude,letude.group
Laiye,https://laiye.com/en,AI / Agents,AI-powered robotic process automation and intelligent automation,False,laiye,laiye.com/en
Langbase,https://langbase.com,AI Tool,"Serverless platform to build, evaluate, and ship LLM features and workflows.",False,langbase,langbase.com
Last Studio,https://last-studio.framer.website,Template,"Framer template for studios—bold grid, crisp type, and ready-to-ship case layouts.",False,last-studio,last-studio.framer.website
Latitude.sh,https://latitude.sh,SaaS / Developer Tool,"Developer-first bare-metal cloud: GPUs, APIs, global regions, clear pricing.",False,latitude-sh,latitude.sh
Lazy Sundays,https://www.lazysundays.studio,E-commerce,"Cozy apparel and home goods with relaxed fits, soft tones, and weekend vibes.",False,lazy-sundays,lazysundays.studio
Leel,https://www.leel.in,E-commerce,Science-backed personal care and wellness products designed for daily use.,False,leel,leel.in
Letters,https://letters.app,Content / Media,Minimal writing and publishing app for thoughtful letters and simple newsletters.,False,letters,letters.app
Letters,https://letters.app,Content / Media,Minimal writing and publishing app for thoughtful letters and simple newsletters.,False,letters,letters.app
Linear,https://linear.app,SaaS / Developer Tool,Issue tracking and project management tool built for modern software teams.,False,linear,linear.app
Lingo App,https://www.lingoapp.com,Technology/Software,"Lingo App is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,lingo-app,lingoapp.com
Lithic,https://www.lithic.com,Fintech / Payments,"Card issuing & processing APIs to launch debit, credit, and virtual card programs.",False,lithic,lithic.com
Lithic,https://www.lithic.com,Fintech / Payments,"Card issuing & processing APIs to launch debit, credit, and virtual card programs.",False,lithic,lithic.com
Liveblocks,https://liveblocks.io,SaaS / Productivity,Real-time collaboration infrastructure for web applications,False,liveblocks,liveblocks.io
Loki,https://www.itsloki.com,AI / Agents,AI agent platform for workflow automation and intelligence,False,loki,itsloki.com
Los York,https://losyork.tv,Agency / Studio,"Award-winning studio blending design, film, and CG for global brands.",False,los-york,losyork.tv
Los York Studio,https://losyork.tv,Agency / Studio,"Award-winning studio blending design, film, and CG for global brands.",False,los-york-studio,losyork.tv
Lovi,https://lovi.care,Health / Wellness,"Care-focused wellness brand offering simple, trustworthy daily essentials.",False,lovi,lovi.care
Lovi,https://lovi.care,Health / Wellness,"Care-focused wellness brand offering simple, trustworthy daily essentials.",False,lovi,lovi.care
Lumro,https://www.lumro.co,AI / Agents,AI agent platform for business process automation,False,lumro,lumro.co
Lué Studio®,https://lue.studio,Agency / Studio,Creative studio shaping refined brands and interactive web experiences.,False,lu-studio,lue.studio
Macaron,https://macaron.im,AI / Agents,AI agent platform for business process automation,False,macaron,macaron.im
Making Software,https://www.makingsoftware.co,Education,Essays and resources on shipping reliable software and product practices.,False,making-software,makingsoftware.co
Mangopay,https://mangopay.com,Fintech / Payments,"Modular payments for platforms: onboarding, wallets, payouts, and risk.",False,mangopay,mangopay.com
Marathon,https://www.onmarathon.com,Apparel  /  Footwear,Performance running footwear and gear with minimalist design language.,False,marathon,onmarathon.com
Marco Almeida,https://www.aboutmarco.com,Portfolio,Designer–developer portfolio with crisp case studies and interactive work.,False,marco-almeida,aboutmarco.com
Marketeam.ai,https://www.marketeam.ai/your-team-product-hunt,AI / Agents,AI marketing team automation for Product Hunt launches,False,marketeam-ai,marketeam.ai/your-team-product-hunt
Mercury,https://mercury.com,Fintech / Banking,Banking platform designed for startups.,False,mercury,mercury.com
Mercury,https://mercury.com,Fintech / Banking,Banking platform designed for startups.,False,mercury,mercury.com
Merge Agent Handler,https://www.merge.dev/products/agent-handler,AI / Agents,AI agent integration and management platform for APIs,False,merge-agent-handler,merge.dev/products/agent-handler
Metaview,https://metaview.ai,AI Tool,"Interview intelligence that records, transcribes, and analyzes hiring calls.",False,metaview,metaview.ai
Method,https://method.framer.media,Template,"Framer template for agencies—clean sections, case grids, and fast publishing.",False,method,method.framer.media
Mikki Sindhunata,https://mikkisindhunata.com,Portfolio,"Designer–developer portfolio with type-forward, interactive web experiments.",False,mikki-sindhunata,mikkisindhunata.com
MindX Service,https://mindxservice.ai,AI / Agents,AI-powered business intelligence and automation services,False,mindx-service,mindxservice.ai
Mirage,https://mirage.framer.media,AI Tool,Framer template for AI/SaaS—high-impact pages optimized for launches that convert.,False,mirage,mirage.framer.media
Mobbin,https://mobbin.com,SaaS / Design,"Curated mobile/web UI patterns and flows to research, compare, and design faster.",False,mobbin,mobbin.com
Mode,https://mode.com,SaaS / Analytics,"Analytics platform combining SQL, Python, and visualization tools",False,mode,mode.com
Mono,https://mono.framer.media,Template,Minimal Framer portfolio template with bold type and case-study layouts.,False,mono,mono.framer.media
Monograph,https://monograph.com,Saas  /  Ops,Project and practice management software for architecture firms.,False,monograph,monograph.com
Monolith,https://www.monolithai.com,Education,Self-learning models that cut physical testing and speed product development.,False,monolith,monolithai.com
Moore,https://john-moore.framer.website,Template,"Framer portfolio template with clean grid, case blocks, and about/contact pages.",False,moore,john-moore.framer.website
Mother Root,https://motherroot.com,E-commerce,"Modern aperitifs and alcohol-free drinks with vibrant, chef-inspired flavors.",False,mother-root,motherroot.com
Mukh,https://mukh.one,AI / Agents,AI agent platform for automated workflows and tasks,False,mukh,mukh.one
Mural,https://mural.co,SaaS / Productivity,"Visual collaboration whiteboard for workshops, brainstorming, and teamwork.",False,mural,mural.co
Muse,https://muse.place,Agency / Studio,"Brand and web studio delivering identity, content, and digital products.",False,muse,muse.place
Muse Design Studio,https://musestudio.uk,Agency / Studio,"Boutique studio building thoughtful brand identities, motion, and modern websites.",False,muse-design-studio,musestudio.uk
My Mind,https://mymind.com,Saas  /  Notes,"Private, AI-organized visual notes to save, search, and remember anything.",False,my-mind,mymind.com
MyAgents AI,https://www.myagents-ai.com,AI / Agents,Personal AI agent creation platform for custom automation,False,myagents-ai,myagents-ai.com
Mymind,https://mymind.com,Saas  /  Notes,"Private, AI-organized visual notes to save, search, and remember anything.",False,mymind,mymind.com
NTGent,https://ntgent.be,Arts & Culture  /  Theatre,"City theatre producing contemporary performances, festivals, and cultural programs.",False,ntgent,ntgent.be
New Ground Coffee,https://www.newgroundcoffee.com,E-commerce,"Small-batch roaster serving specialty coffee with bold, modern branding.",False,new-ground-coffee,newgroundcoffee.com
New Ground Coffee,https://www.newgroundcoffee.com,E-commerce,"Small-batch roaster serving specialty coffee with bold, modern branding.",False,new-ground-coffee,newgroundcoffee.com
NewWorld,https://newworld.com,Agency / Studio,"NewWorld is a creative agency delivering professional services including branding, design, marketing strategy, and consulting solutions tailored to help businesses achieve their goals.",False,newworld,newworld.com
Nice People,https://nicepeople.com,Agency / Studio,"Award-winning LA studio for branding, packaging, web, and art direction.",False,nice-people,nicepeople.com
Nicolas Bussière,https://www.nicolasbussiere.com,Portfolio,"Designer–developer portfolio with refined type, motion, and client case studies.",False,nicolas-bussi-re,nicolasbussiere.com
Nory,https://www.nory.ai,Saas  /  Restaurant Ops,"AI platform for scheduling, inventory, and margin control in hospitality.",False,nory,nory.ai
Notion,https://www.notion.so,SaaS / Productivity,"All-in-one workspace for notes, docs, wikis, and project management with AI-powered features.",False,notion,notion.so
Noxus,https://www.noxus.ai,AI Tool,"Governed AI workers to resolve tickets, cite policy, and write back to systems.",False,noxus,noxus.ai
Noxus,https://www.noxus.ai,AI Tool,"Governed AI workers to resolve tickets, cite policy, and write back to systems.",False,noxus,noxus.ai
Nylas,https://nylas.com,SaaS / Developer Tool,Email API platform integrating calendar and contacts,False,nylas,nylas.com
Nyx,https://nyx.today,AI / Agents,AI agent for productivity and task automation,False,nyx,nyx.today
O0 Design,https://o0-design.com,Agency / Studio,"O0 Design is a creative agency delivering professional services including branding, design, marketing strategy, and consulting solutions tailored to help businesses achieve their goals.",False,o0-design,o0-design.com
OFF MENU,https://www.offmenupodcast.co.uk,Content / Media,"Food culture platform hosting tastings, chef spotlights, and culinary stories.",False,off-menu,offmenupodcast.co.uk
ONBOX,https://www.onboxcreative.com,Agency / Studio,"Brand and web studio delivering strategy, identity, and conversion-ready sites.",False,onbox,onboxcreative.com
Oddit,https://www.oddit.co,E-commerce,"E-commerce UX and CRO teardowns, redesigns, and reports that lift CVR.",False,oddit,oddit.co
Off Menu,https://offmenu.com,Personal/Portfolio,"Off Menu is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,off-menu,offmenu.com
Offset,https://offset.framer.website,Template,Framer site template for product launches with bold hero and feature blocks.,False,offset,offset.framer.website
Old Friends,https://www.oldfriends.studio,AI Tool,"Creative studio making characterful brands, campaigns, and websites.",False,old-friends,oldfriends.studio
Old Friends,https://oldfriends.com,Personal/Portfolio,"Old Friends is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,old-friends,oldfriends.com
One Manor Place,https://omp.dentist,Health / Wellness,"Stoneybatter neighborhood dental practice with modern, patient-first care.",False,one-manor-place,omp.dentist
One Manor Place,https://omp.dentist,Health / Wellness,"Stoneybatter neighborhood dental practice with modern, patient-first care.",False,one-manor-place,omp.dentist
OneLeft,https://oneleft.co,Agency / Studio,Venture studio partnering with founders to design and ship new products.,False,oneleft,oneleft.co
Opaque,https://opaque.framer.website,Template,"Minimal Framer template for case studies, services, and contact flows.",False,opaque,opaque.framer.website
Osmo,https://playosmo.com,Education,Playful learning platform blending hands-on games with interactive tech.,False,osmo,playosmo.com
OutThere,https://www.outthere.studio,Agency / Studio,Brand and web studio delivering identity systems and high-impact sites.,False,outthere,outthere.studio
OutThere,https://www.outthere.studio,Agency / Studio,Brand and web studio delivering identity systems and high-impact sites.,False,outthere,outthere.studio
Outseta,https://www.outseta.com,SaaS / CRM,"All-in-one stack for memberships: auth, billing, CRM, email, and support.",False,outseta,outseta.com
Outshift,https://outshift.webflow.io,Agency / Studio,"Venture design partner building brands, products, and launch sites.",False,outshift,outshift.webflow.io
Outtake,https://www.outtake.ai,AI / Code,AI platform that turns scripts and assets into production-ready video variations.,False,outtake,outtake.ai
Overflow,https://overflow.io,SaaS / Design,User flow diagramming tool mapping customer journeys,False,overflow,overflow.io
PUR+ Architekten,https://purplus.de,Agency / Studio,Contemporary architecture practice designing human-centered spaces and systems.,False,pur-architekten,purplus.de
Pacer,https://www.pacer.studio,Agency / Studio,"Brand and product studio delivering strategy, identity, and performant sites.",False,pacer,pacer.studio
Paid,https://paid.ai,AI / Agents,AI-powered payment processing and financial automation platform,False,paid,paid.ai
Parabol,https://parabol.fi,Agency / Studio,"Finland-based studio delivering brand systems, web, and product design.",False,parabol,parabol.fi
Paraform,https://paraform.com,SaaS / HR,Platform connecting companies with vetted talent for open roles.,False,paraform,paraform.com
Parallel,https://parallel.ai,AI Tool,"AI data platform for synthetic data, labeling, evaluation, and quality.",False,parallel,parallel.ai
Parthean,https://www.parthean.com,Fintech,Personal-finance learning app with bite-size lessons and actionable tools.,False,parthean,parthean.com
Passionfroot,https://www.passionfroot.me,Content / Media,"Manage sponsors, bookings, invoices, and media kits in one creator OS.",False,passionfroot,passionfroot.me
Patch,https://www.patch.io,SaaS / Developer Tool,"Carbon removal and climate API to measure, reduce, and offset corporate impact.",False,patch,patch.io
Payload,https://payloadcms.com,SaaS / Design,"Open-source Next.js CMS and app framework for content, commerce, and admin UIs.",False,payload,payloadcms.com
Payload,https://payloadcms.com,SaaS / Design,"Open-source Next.js CMS and app framework for content, commerce, and admin UIs.",False,payload,payloadcms.com
Pelata Pieces,https://www.pelatapieces.com,E-commerce,"Playful, Nordic-designed games and objects launched by Finnish Design Shop.",False,pelata-pieces,pelatapieces.com
Pelata Pieces,https://www.pelatapie.com,Technology/Software,"Pelata Pieces is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,pelata-pieces,pelatapie.com
Penny Pension,https://pennypension.com,Fintech,"Retirement app automating contributions, tracking growth, and simplifying long-term planning.",False,penny-pension,pennypension.com
Pepette,https://pepette.co,E-commerce,"Pepette is a leading ecommerce platform offering seamless online shopping experiences, secure payment processing, intuitive product browsing, and modern retail solutions worldwide.",False,pepette,pepette.co
Personio,https://www.personio.com,SaaS / HR,"All-in-one HR platform for SMEs: hiring, payroll, time off, and performance.",False,personio,personio.com
Peter Tarka,https://petertarka.com,Portfolio,3D artist portfolio featuring high-impact visuals for brands and campaigns.,False,peter-tarka,petertarka.com
Peter Tarka,https://petertarka.com,Portfolio,3D artist portfolio featuring high-impact visuals for brands and campaigns.,False,peter-tarka,petertarka.com
Phantom,https://phantom.app,Fintech / Crypto,Crypto wallet for Solana blockchain and NFT management,False,phantom,phantom.app
Pitch-Works,https://pitch.works,AI Tool,"Presentation design for sales, fundraising, and product storytelling.",False,pitch-works,pitch.works
Plain,https://www.plain.com,SaaS / Productivity,Developer-first customer support platform with APIs and elegant workflows.,False,plain,plain.com
Plain,https://www.plain.com,SaaS / Productivity,Developer-first customer support platform with APIs and elegant workflows.,False,plain,plain.com
Plasticity,https://www.plasticity.xyz,AI Tool,"Tools and research to train, inspect, and deploy high-performance LLMs.",False,plasticity,plasticity.xyz
PlayerZero,https://playerzero.ai,Saas  /  Devtool,"User issue tracking that turns customer signals into clear, fixable bugs.",False,playerzero,playerzero.ai
Playspace,https://play.space,SaaS / Productivity,Collaborative workspace for creative teams and projects,False,playspace,play.space
Plot,https://www.plot.so,Saas  /  Docs,"Visual docs for teams—present ideas, data, and product work beautifully.",False,plot,plot.so
Plumb,https://www.plumbweb.io,Design Tool,"Product team shipping crisp interfaces, design systems, and front-end builds.",False,plumb,plumbweb.io
Polar,https://polar.sh,SaaS / Analytics,"Build & fund open-source: sponsorships, paywalled releases, and analytics.",False,polar,polar.sh
Polar,https://polar.sh,SaaS / Analytics,"Build & fund open-source: sponsorships, paywalled releases, and analytics.",False,polar,polar.sh
Polymail,https://polymail.io,SaaS / Productivity,Email client tracking opens and scheduling sends,False,polymail,polymail.io
Poolside,https://poolside.ai,AI / Code,Code-native AI models to translate specs into working software and tests.,False,poolside,poolside.ai
Poolside,https://poolside.ai,AI / Code,Code-native AI models to translate specs into working software and tests.,False,poolside,poolside.ai
Popcorn,https://www.popcorn.space,SaaS / Developer Tool,"Rapid user research hub to recruit, run studies, and synthesize insights.",False,popcorn,popcorn.space
Popcorn,https://www.popcorn.space,SaaS / Developer Tool,"Rapid user research hub to recruit, run studies, and synthesize insights.",False,popcorn,popcorn.space
Portia Labs,https://www.portialabs.ai,AI / Agents,AI agent development platform for custom automation,False,portia-labs,portialabs.ai
PostHog,https://posthog.com,SaaS / Analytics,"Product OS: analytics, session replay, feature flags, and A/B testing in one.",False,posthog,posthog.com
Postman AI Agent Builder,https://www.postman.com/product/ai-agent-builder,AI / Agents,AI agent creation platform integrated with Postman API tools,False,postman-ai-agent-builder,postman.com/product/ai-agent-builder
Potion,https://mixpotion.co,SaaS / CRM,"Create personalized videos at scale for outreach, sales, and onboarding.",False,potion,mixpotion.co
Potloc,https://www.potloc.com,Saas  /  Research,"Social-sampling survey platform delivering fast, decision-grade consumer data.",False,potloc,potloc.com
Practice,https://practice.inc,SaaS / CRM,"All-in-one client platform for coaches: CRM, scheduling, billing, and docs.",False,practice,practice.inc
Precious,https://www.workbyprecious.com,Agency / Studio,Product and brand studio crafting digital experiences for ambitious teams.,False,precious,workbyprecious.com
Prima HealthCredit,https://prima-healthcredit.com,Health / Wellness,"Prima HealthCredit is a digital health and wellness platform delivering healthcare solutions, wellness services, patient care tools, and health tracking for improved outcomes.",False,prima-healthcredit,prima-healthcredit.com
Primary Studio,https://www.primary.studio,Agency / Studio,"Minimal, systems-led branding and digital for modern products and culture.",False,primary-studio,primary.studio
PrimeLink,https://www.primelink.io,Saas,"Link management and tracking to route audiences, analyze clicks, and grow funnels.",False,primelink,primelink.io
Primer,https://primer.io,Fintech / Payments,"No-code payment routing, methods, risk, and subscriptions via one integration.",False,primer,primer.io
Privy,https://www.privy.io,SaaS / Marketing,"Email, SMS, and popups to grow ecommerce lists and drive conversions.",False,privy,privy.io
Profound,https://www.tryprofound.com,SaaS / Marketing,Measure and improve brand visibility inside AI search and answer engines.,False,profound,tryprofound.com
Purpose Talent,https://www.purposetalent.xyz,Recruiting  /  Talent,"Boutique talent partner placing product, design, and go-to-market leaders.",False,purpose-talent,purposetalent.xyz
Qatalog,https://qatalog.com,SaaS / Productivity,Work hub centralizing company knowledge and tools,False,qatalog,qatalog.com
Qoder,https://qoder.com,AI / Code,AI-powered code generation and development automation,False,qoder,qoder.com
Quartzo Studio,https://quartzo.studio,Agency / Studio,"Quartzo Studio is a creative agency delivering professional services including branding, design, marketing strategy, and consulting solutions tailored to help businesses achieve their goals.",False,quartzo-studio,quartzo.studio
Quechua SS25 Lookbook,https://quechua.com,Fashion  /  Lookbook,"Seasonal outdoor collection lookbook highlighting gear, colorways, and fits.",False,quechua-ss25-lookbook,quechua.com
Quillow,https://quillow.co,Agency / Studio,"Boutique team shipping brand identities, websites, and product UI.",False,quillow,quillow.co
Quilt,https://www.quilt.com,Climate Tech  /  Home,"Smart, room-by-room heat pump system that cuts energy use and bills.",False,quilt,quilt.com
Rabbits Black,https://rabbitsblack.com,Content / Media,"Online magazine covering rock, festivals, and live music culture.",False,rabbits-black,rabbitsblack.com
Rail,https://rail.io,Fintech / Payments,Modern payments infrastructure powering global payouts and money movement.,False,rail,rail.io
RankYak,https://rankyak.com,AI / Agents,AI-powered SEO and ranking optimization platform,False,rankyak,rankyak.com
Rauno Freiberg,https://rauno.me,Portfolio,"Designer–engineer portfolio showcasing interactive, type-driven web experiments.",False,rauno-freiberg,rauno.me
Rauno Freiberg,https://raunofreiberg.com,Personal/Portfolio,"Rauno Freiberg is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,rauno-freiberg,raunofreiberg.com
Raycast,https://www.raycast.com,SaaS / Productivity,"Command bar for Mac to search, launch, script, and extend your workflow.",False,raycast,raycast.com
Raycast,https://www.raycast.com,SaaS / Productivity,"Command bar for Mac to search, launch, script, and extend your workflow.",False,raycast,raycast.com
Realm,https://www.withrealm.com,Fintech,"Home valuation and equity insights to plan renovations, buys, or refinancing.",False,realm,withrealm.com
Recess,https://ourrecess.com,E-commerce,"Calm-cool beverages and supplements for mood, focus, and daily balance.",False,recess,ourrecess.com
